OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
Android 9,Linux armv7l,8,2,Qualcomm,Adreno (TM) 506,360x720,Chrome/87.0.4280.101,2409:4043:2e99:4422:5be1:108a:f375:3033,Asia,India,Himachal Pradesh,Ghumarwin,Reliance Jio Infocomm Limited,Reliance Jio Infocomm Limited,22.75213 deg,75.8909735 deg,1100 m,490.076628647819,90 deg,0 m/s
Android 10,Linux armv81,8,4,ARM,Mali-G68 MC4,360x800,Chrome/134.0.0.0,152.58.73.191,Asia,India,Haryana,Mohindergarh,Asia Pacific Network Information Centre,Reliance Jio Infocomm Limited,27.9594498 deg,76.3991786 deg,21.97800064086914 m,288.1000061035156,Not Available,Not Available
Android 10,Linux armv81,8,4,Qualcomm,Adreno (TM) 619,393x876,Chrome/134.0.0.0,152.59.103.59,Asia,India,Rajasthan,Udaipur,Asia Pacific Network Information Centre,Reliance Jio Infocomm Limited,27.959985 deg,76.3988671 deg,100 m,291.8000183105469,Not Available,Not Available
